Index,Token ID,Element,Action,Relative Time,Absolute Time
1311, 048,Exclusive Gateway Split 3,Enter,15572973,03/01/2008
1312, 048,Exclusive Gateway Split 3,Leave,15572973,03/01/2008
1313, 048,Parallel Gateway Split,Enter,15572973,03/01/2008
1314, 048,Parallel Gateway Split,Leave,15572973,03/01/2008
1315, 048,Record Invoice Receipt,Enter,15572973,03/01/2008
1316, 048,Parallel Gateway Split,Leave,15572973,03/01/2008
1317, 048,Record Goods Receipt,Enter,15572973,03/01/2008
1318, 047,Receive Order Confirmation,Leave,15646933,03/01/2008
1319, 047,Parallel Gateway Split,Enter,15646933,03/01/2008
1320, 047,Parallel Gateway Split,Leave,15646933,03/01/2008
1321, 047,Record Invoice Receipt,Enter,15646933,03/01/2008
1322, 047,Parallel Gateway Split,Leave,15646933,03/01/2008
1323, 047,Record Goods Receipt,Enter,15646933,03/01/2008
1324, 049,START EVENT,Enter,15759909,03/01/2008
1325, 049,START EVENT,Leave,15759909,03/01/2008
1326, 049,Exclusive Gateway Split 1,Enter,15759909,03/01/2008
1327, 049,Exclusive Gateway Split 1,Leave,15759909,03/01/2008
1328, 049,Create Purchase Requisition,Enter,15759909,03/01/2008
1329, 049,Create Purchase Requisition,Leave,15776942,03/01/2008
1330, 049,Create Purchase Order,Enter,15776942,03/01/2008
1331, 043,Clear Invoice,Leave,15835815,03/01/2008
1332, 043,END EVENT,Enter,15835815,03/01/2008
1333, 043,END EVENT,Leave,15835815,03/01/2008
1334, 049,Create Purchase Order,Leave,15917151,03/01/2008
1335, 049,Exclusive Gateway Split 2,Enter,15917151,03/01/2008
1336, 049,Exclusive Gateway Split 2,Leave,15917151,03/01/2008
1337, 049,Print and Send Purchase Order (Paper),Enter,15917151,03/01/2008
1338, 049,Print and Send Purchase Order (Paper),Leave,15917157,03/01/2008
1339, 049,Exclusive Gateway Split 3,Enter,15917157,03/01/2008
1340, 049,Exclusive Gateway Split 3,Leave,15917157,03/01/2008
1341, 049,Parallel Gateway Split,Enter,15917157,03/01/2008
1342, 049,Parallel Gateway Split,Leave,15917157,03/01/2008
1343, 049,Record Invoice Receipt,Enter,15917157,03/01/2008
1344, 049,Parallel Gateway Split,Leave,15917157,03/01/2008
1345, 049,Record Goods Receipt,Enter,15917157,03/01/2008
1346, 044,Record Invoice Receipt,Leave,15927591,03/01/2008
1347, 044,Parallel Gateway Join,Enter,15927591,03/01/2008
1348, 044,Parallel Gateway Join,Leave,15927591,03/01/2008
1349, 044,Clear Invoice,Enter,15927591,03/01/2008
1350, 045,Record Goods Receipt,Leave,16014436,03/01/2008
1351, 045,Parallel Gateway Join,Enter,16014436,03/01/2008
1352, 050,START EVENT,Enter,16090188,03/01/2008
1353, 050,START EVENT,Leave,16090188,03/01/2008
1354, 050,Exclusive Gateway Split 1,Enter,16090188,03/01/2008
1355, 050,Exclusive Gateway Split 1,Leave,16090188,03/01/2008
1356, 050,Create Purchase Requisition,Enter,16090188,03/01/2008
1357, 050,Create Purchase Requisition,Leave,16105284,03/01/2008
1358, 050,Create Purchase Order,Enter,16105284,03/01/2008
1359, 045,Record Invoice Receipt,Leave,16154541,03/01/2008
1360, 045,Parallel Gateway Join,Enter,16154541,03/01/2008
1361, 045,Parallel Gateway Join,Leave,16154541,03/01/2008
1362, 045,Clear Invoice,Enter,16154541,03/01/2008
1363, 050,Create Purchase Order,Leave,16253425,03/01/2008
1364, 050,Exclusive Gateway Split 2,Enter,16253425,03/01/2008
1365, 050,Exclusive Gateway Split 2,Leave,16253425,03/01/2008
1366, 050,Print and Send Purchase Order (Paper),Enter,16253425,03/01/2008
1367, 050,Print and Send Purchase Order (Paper),Leave,16253430,03/01/2008
1368, 050,Exclusive Gateway Split 3,Enter,16253430,03/01/2008
1369, 050,Exclusive Gateway Split 3,Leave,16253430,03/01/2008
1370, 050,Receive Order Confirmation,Enter,16253430,03/01/2008
1371, 046,Record Goods Receipt,Leave,16378704,03/01/2008
1372, 046,Parallel Gateway Join,Enter,16378704,03/01/2008
1373, 051,START EVENT,Enter,16425394,03/01/2008
1374, 051,START EVENT,Leave,16425394,03/01/2008
1375, 051,Exclusive Gateway Split 1,Enter,16425394,03/01/2008
1376, 051,Exclusive Gateway Split 1,Leave,16425394,03/01/2008
1377, 051,Create Purchase Order,Enter,16425394,03/01/2008
1378, 044,Clear Invoice,Leave,16429172,03/01/2008
1379, 044,END EVENT,Enter,16429172,03/01/2008
1380, 044,END EVENT,Leave,16429172,03/01/2008
1381, 051,Create Purchase Order,Leave,16548580,03/01/2008
1382, 051,Exclusive Gateway Split 2,Enter,16548580,03/01/2008
1383, 051,Exclusive Gateway Split 2,Leave,16548580,03/01/2008
1384, 051,Exclusive Gateway Split 3,Enter,16548580,03/01/2008
1385, 051,Exclusive Gateway Split 3,Leave,16548580,03/01/2008
1386, 051,Receive Order Confirmation,Enter,16548580,03/01/2008
1387, 048,Record Goods Receipt,Leave,16550097,03/01/2008
1388, 048,Parallel Gateway Join,Enter,16550097,03/01/2008
1389, 045,Clear Invoice,Leave,16556692,03/01/2008
1390, 045,END EVENT,Enter,16556692,03/01/2008
1391, 045,END EVENT,Leave,16556692,03/01/2008
1392, 046,Record Invoice Receipt,Leave,16589273,03/01/2008
1393, 046,Parallel Gateway Join,Enter,16589273,03/01/2008
1394, 046,Parallel Gateway Join,Leave,16589273,03/01/2008
1395, 046,Clear Invoice,Enter,16589273,03/01/2008
1396, 047,Record Invoice Receipt,Leave,16601410,03/01/2008
1397, 047,Parallel Gateway Join,Enter,16601410,03/01/2008
1398, 050,Receive Order Confirmation,Leave,16640034,03/01/2008
1399, 050,Parallel Gateway Split,Enter,16640034,03/01/2008
1400, 050,Parallel Gateway Split,Leave,16640034,03/01/2008
1401, 050,Record Invoice Receipt,Enter,16640034,03/01/2008
1402, 050,Parallel Gateway Split,Leave,16640034,03/01/2008
1403, 050,Record Goods Receipt,Enter,16640034,03/01/2008
1404, 048,Record Invoice Receipt,Leave,16653861,03/01/2008
1405, 048,Parallel Gateway Join,Enter,16653861,03/01/2008
1406, 048,Parallel Gateway Join,Leave,16653861,03/01/2008
1407, 048,Clear Invoice,Enter,16653861,03/01/2008
1408, 052,START EVENT,Enter,16760491,03/01/2008
1409, 052,START EVENT,Leave,16760491,03/01/2008
1410, 052,Exclusive Gateway Split 1,Enter,16760491,03/01/2008
1411, 052,Exclusive Gateway Split 1,Leave,16760491,03/01/2008
1412, 052,Create Purchase Requisition,Enter,16760491,03/01/2008
1413, 052,Create Purchase Requisition,Leave,16778992,03/01/2008
1414, 052,Create Purchase Order,Enter,16778992,03/01/2008
1415, 047,Record Goods Receipt,Leave,16858396,03/01/2008
1416, 047,Parallel Gateway Join,Enter,16858396,03/01/2008
1417, 047,Parallel Gateway Join,Leave,16858396,03/01/2008
1418, 047,Clear Invoice,Enter,16858396,03/01/2008
1419, 052,Create Purchase Order,Leave,16905490,03/01/2008
1420, 052,Exclusive Gateway Split 2,Enter,16905490,03/01/2008
1421, 052,Exclusive Gateway Split 2,Leave,16905490,03/01/2008
1422, 052,Exclusive Gateway Split 3,Enter,16905490,03/01/2008
